"id","song_popularity"
1,61
2,61
3,53
4,58
5,62
6,47
7,48
8,54
9,43
10,56
11,57
12,69
13,52
14,64
15,55
16,47
17,38
18,53
19,50
20,55
21,38
22,50
23,42
24,42
25,53
26,54
27,59
28,50
29,55
30,43
31,61
32,50
33,41
34,49
35,63
36,44
37,63
38,47
39,44
40,52
41,54
42,42
43,58
44,40
45,51
46,51
47,56
48,51
49,57
50,50
51,53
52,52
53,51
54,51
55,50
56,59
57,46
58,59
59,61
60,46
61,43
62,50
63,50
64,45
65,45
66,50
67,55
68,47
69,47
70,42
71,50
72,57
73,61
74,69
75,55
76,55
77,50
78,63
79,51
80,51
81,51
82,71
83,44
84,57
85,52
86,50
87,52
88,64
89,53
90,55
91,49
92,51
93,71
94,54
95,54
96,45
97,56
98,47
99,57
100,44
101,41
102,62
103,51
104,47
105,54
106,57
107,48
108,51
109,55
110,47
111,29
112,49
113,57
114,52
115,48
116,50
117,64
118,63
119,61
120,54
121,43
122,42
123,68
124,65
125,42
126,50
127,53
128,53
129,48
130,60
131,47
132,52
133,64
134,53
135,51
136,49
137,52
138,28
139,53
140,42
141,50
142,42
143,61
144,55
145,44
146,51
147,53
148,61
149,48
150,66
151,53
152,53
153,57
154,56
155,51
156,44
157,59
158,51
159,58
160,47
161,50
162,67
163,59
164,45
165,55
166,60
167,62
168,44
169,52
170,49
171,55
172,51
173,60
174,46
175,63
176,52
177,49
178,50
179,46
180,57
181,55
182,46
183,50
184,65
185,73
186,51
187,49
188,47
189,58
190,49
191,82
192,54
193,49
194,53
195,48
196,49
197,45
198,65
199,44
200,48
201,61
202,58
203,52
204,52
205,58
206,42
207,48
208,58
209,52
210,51
211,52
212,53
213,41
214,52
215,51
216,55
217,48
218,55
219,55
220,55
221,51
222,55
223,52
224,53
225,56
226,54
227,46
228,57
229,57
230,58
231,50
232,58
233,54
234,53
235,58
236,48
237,49
238,53
239,43
240,62
241,57
242,51
243,43
244,54
245,52
246,60
247,46
248,52
249,43
250,71
251,46
252,53
253,50
254,52
255,59
256,50
257,62
258,54
259,47
260,49
261,56
262,54
263,44
264,56
265,51
266,63
267,49
268,57
269,51
270,57
271,69
272,63
273,63
274,54
275,57
276,49
277,54
278,49
279,44
280,48
281,51
282,68
283,67
284,39
285,54
286,59
287,49
288,56
289,50
290,51
291,59
292,55
293,45
294,52
295,52
296,68
297,48
298,54
299,61
300,42
301,45
302,47
303,46
304,53
305,58
306,47
307,47
308,48
309,50
310,66
311,50
312,59
313,57
314,58
315,47
316,52
317,51
318,45
319,45
320,64
321,47
322,58
323,66
324,47
325,56
326,48
327,55
328,52
329,50
330,53
331,44
332,55
333,61
334,62
335,54
336,52
337,58
338,54
339,53
340,49
341,42
342,61
343,42
344,44
345,52
346,60
347,59
348,52
349,58
350,60
351,50
352,53
353,57
354,51
355,72
356,49
357,62
358,55
359,53
360,53
361,50
362,52
363,44
364,56
365,49
366,64
367,53
368,67
369,58
370,57
371,50
372,52
373,61
374,43
375,61
376,51
377,50
378,61
379,47
380,55
381,58
382,52
383,50
384,61
385,53
386,41
387,34
388,47
389,53
390,50
391,75
392,68
393,45
394,55
395,54
396,53
397,52
398,61
399,52
400,50
401,74
402,52
403,55
404,49
405,57
406,50
407,51
408,50
409,47
410,60
411,58
412,59
413,42
414,58
415,52
416,49
417,57
418,48
419,47
420,51
421,53
422,53
423,49
424,66
425,44
426,47
427,54
428,49
429,50
430,54
431,46
432,54
433,42
434,56
435,36
436,62
437,50
438,64
439,49
440,57
441,55
442,58
443,44
444,57
445,55
446,52
447,66
448,59
449,52
450,47
451,57
452,55
453,52
454,44
455,54
456,48
457,47
458,51
459,53
460,51
461,40
462,51
463,48
464,57
465,55
466,57
467,64
468,47
469,49
470,46
471,52
472,61
473,53
474,50
475,57
476,56
477,47
478,46
479,53
480,51
481,62
482,51
483,54
484,52
485,67
486,48
487,58
488,52
489,40
490,42
491,52
492,54
493,55
494,52
495,50
496,45
497,78
498,53
499,51
500,60
501,46
502,49
503,48
504,58
505,50
506,46
507,56
508,45
509,47
510,53
511,57
512,58
513,54
514,53
515,52
516,51
517,44
518,49
519,70
520,44
521,48
522,48
523,49
524,35
525,52
526,50
527,59
528,37
529,53
530,47
531,41
532,49
533,51
534,46
535,56
536,50
537,54
538,57
539,49
540,55
541,55
542,47
543,51
544,40
545,51
546,56
547,54
548,48
549,53
550,54
551,59
552,42
553,58
554,53
555,55
556,46
557,55
558,52
559,67
560,51
561,60
562,53
563,52
564,51
565,50
566,66
567,54
568,47
569,53
570,55
571,60
572,51
573,55
574,45
575,56
576,53
577,55
578,52
579,50
580,51
581,47
582,52
583,62
