"id","song_popularity"
1,61
2,58
3,54
4,57
5,60
6,46
7,47
8,53
9,46
10,54
11,59
12,69
13,51
14,65
15,55
16,47
17,38
18,53
19,49
20,54
21,38
22,51
23,42
24,46
25,51
26,57
27,59
28,49
29,54
30,43
31,62
32,49
33,41
34,47
35,61
36,46
37,61
38,48
39,46
40,50
41,54
42,42
43,58
44,40
45,52
46,52
47,55
48,52
49,59
50,47
51,53
52,50
53,48
54,48
55,51
56,59
57,44
58,61
59,59
60,49
61,41
62,50
63,50
64,44
65,45
66,50
67,56
68,49
69,49
70,43
71,50
72,57
73,61
74,67
75,55
76,54
77,50
78,62
79,51
80,50
81,51
82,70
83,47
84,54
85,50
86,48
87,51
88,63
89,54
90,55
91,49
92,54
93,71
94,56
95,55
96,45
97,56
98,47
99,59
100,44
101,38
102,65
103,52
104,46
105,55
106,58
107,49
108,50
109,58
110,46
111,26
112,48
113,58
114,51
115,47
116,50
117,65
118,63
119,61
120,53
121,44
122,45
123,68
124,66
125,41
126,51
127,54
128,53
129,49
130,60
131,49
132,51
133,62
134,52
135,50
136,50
137,52
138,29
139,52
140,42
141,50
142,41
143,59
144,55
145,46
146,49
147,53
148,61
149,48
150,64
151,53
152,52
153,57
154,56
155,49
156,43
157,56
158,51
159,57
160,49
161,52
162,68
163,57
164,45
165,54
166,59
167,62
168,45
169,49
170,49
171,54
172,50
173,61
174,44
175,61
176,51
177,49
178,49
179,46
180,57
181,53
182,45
183,51
184,65
185,77
186,51
187,49
188,46
189,58
190,49
191,82
192,56
193,50
194,52
195,49
196,47
197,45
198,65
199,43
200,45
201,60
202,59
203,52
204,52
205,57
206,41
207,48
208,58
209,51
210,51
211,51
212,50
213,39
214,53
215,52
216,55
217,47
218,55
219,53
220,54
221,51
222,53
223,52
224,54
225,56
226,51
227,44
228,57
229,58
230,59
231,49
232,57
233,54
234,52
235,55
236,48
237,49
238,52
239,46
240,62
241,57
242,48
243,44
244,53
245,51
246,60
247,45
248,51
249,45
250,66
251,46
252,50
253,53
254,51
255,59
256,49
257,62
258,57
259,49
260,47
261,55
262,55
263,45
264,56
265,51
266,64
267,48
268,56
269,50
270,59
271,67
272,64
273,63
274,57
275,56
276,48
277,55
278,46
279,47
280,47
281,47
282,65
283,64
284,39
285,55
286,58
287,50
288,55
289,52
290,51
291,59
292,53
293,44
294,52
295,51
296,69
297,48
298,55
299,60
300,46
301,47
302,47
303,46
304,51
305,57
306,46
307,46
308,48
309,50
310,66
311,50
312,58
313,60
314,57
315,48
316,52
317,51
318,45
319,44
320,65
321,47
322,59
323,67
324,46
325,56
326,46
327,54
328,50
329,49
330,50
331,45
332,55
333,60
334,62
335,55
336,53
337,56
338,54
339,56
340,50
341,43
342,60
343,41
344,43
345,51
346,59
347,60
348,54
349,58
350,61
351,53
352,53
353,57
354,49
355,72
356,48
357,62
358,57
359,55
360,53
361,50
362,52
363,46
364,59
365,50
366,65
367,53
368,68
369,59
370,55
371,52
372,52
373,62
374,43
375,62
376,49
377,50
378,60
379,49
380,52
381,59
382,52
383,51
384,61
385,51
386,40
387,35
388,47
389,53
390,51
391,74
392,67
393,44
394,56
395,55
396,52
397,55
398,62
399,54
400,50
401,74
402,52
403,56
404,51
405,56
406,51
407,53
408,53
409,48
410,61
411,59
412,60
413,44
414,56
415,50
416,50
417,58
418,48
419,48
420,51
421,53
422,52
423,51
424,65
425,43
426,47
427,55
428,49
429,47
430,52
431,45
432,53
433,43
434,56
435,39
436,60
437,50
438,63
439,48
440,56
441,56
442,59
443,45
444,57
445,55
446,54
447,67
448,58
449,52
450,46
451,57
452,54
453,53
454,48
455,54
456,49
457,48
458,51
459,54
460,51
461,39
462,50
463,48
464,58
465,54
466,57
467,62
468,48
469,49
470,45
471,52
472,61
473,53
474,50
475,58
476,56
477,46
478,45
479,55
480,52
481,61
482,46
483,55
484,52
485,66
486,46
487,58
488,52
489,41
490,42
491,55
492,54
493,56
494,53
495,49
496,45
497,78
498,51
499,51
500,58
501,48
502,47
503,48
504,58
505,49
506,46
507,57
508,47
509,50
510,54
511,56
512,57
513,53
514,51
515,53
516,47
517,46
518,48
519,70
520,45
521,49
522,47
523,49
524,37
525,51
526,49
527,58
528,37
529,55
530,47
531,43
532,49
533,50
534,46
535,56
536,50
537,54
538,57
539,48
540,53
541,53
542,47
543,48
544,43
545,51
546,55
547,55
548,48
549,51
550,52
551,59
552,44
553,57
554,52
555,55
556,47
557,56
558,52
559,66
560,50
561,61
562,53
563,49
564,50
565,50
566,66
567,52
568,47
569,53
570,54
571,62
572,50
573,57
574,44
575,56
576,53
577,56
578,52
579,51
580,50
581,46
582,52
583,63
584,55
585,59
586,47
587,45
588,56
589,47
590,47
591,54
592,45
593,45
594,37
595,48
596,50
597,56
598,62
599,48
600,50
601,47
602,60
603,48
604,50
605,45
606,39
607,47
608,51
609,52
610,59
611,37
612,51
613,60
614,52
615,52
616,46
617,50
618,58
619,53
620,55
621,54
622,60
623,48
624,69
625,50
626,50
627,47
628,54
629,53
630,44
631,51
632,49
633,61
634,49
635,69
636,63
637,54
638,39
639,58
640,59
641,71
642,53
643,49
644,50
645,52
646,55
647,53
648,48
649,46
650,59
651,49
652,57
653,46
654,46
655,61
656,46
657,53
658,55
659,59
660,66
661,48
662,49
663,57
664,49
665,67
666,60
667,49
668,50
669,54
670,60
671,45
672,46
673,60
674,60
675,50
676,45
677,58
678,44
679,50
680,59
681,59
682,55
683,59
684,53
685,49
686,64
687,60
688,49
689,53
690,61
691,50
692,63
693,49
694,62
695,52
696,55
697,53
698,49
699,53
700,50
701,50
702,48
703,54
704,57
705,58
706,49
707,54
708,49
709,50
710,53
711,45
712,49
713,65
714,47
715,54
716,57
717,47
718,66
719,64
720,61
721,59
722,57
723,55
724,45
725,50
726,58
727,51
728,44
729,41
730,52
731,52
732,47
733,57
734,52
735,47
736,49
737,52
738,52
739,53
740,56
741,57
742,55
743,52
744,58
745,41
746,59
747,61
748,57
749,60
750,40
751,54
752,51
753,65
754,55
755,53
756,45
757,50
758,57
759,54
760,47
761,60
762,55
763,55
764,49
765,45
766,50
767,52
768,57
769,58
770,40
771,49
772,54
773,55
774,52
775,57
776,46
777,52
778,51
779,50
780,42
781,53
782,50
783,71
784,54
785,54
786,49
787,55
788,51
789,51
790,54
791,50
792,62
793,54
794,49
795,56
796,54
797,46
798,41
799,52
800,63
801,57
802,61
803,51
804,45
805,59
806,54
807,53
808,46
809,52
810,61
811,41
812,44
813,48
814,55
815,47
816,49
817,45
818,53
819,53
820,57
821,47
822,48
823,38
824,67
825,55
826,46
827,51
828,55
829,41
830,54
831,51
832,61
833,49
834,59
835,52
836,59
837,62
838,44
839,49
840,50
841,47
842,54
843,49
844,45
845,46
846,60
847,57
848,61
849,53
850,62
851,53
852,59
853,56
854,64
855,46
856,54
857,47
858,51
859,51
860,71
861,59
862,59
863,48
864,39
865,45
866,59
867,51
868,55
869,45
870,52
871,52
872,53
873,71
874,74
875,54
876,51
877,60
878,46
879,45
880,45
881,53
882,49
883,54
884,47
885,48
886,55
887,46
888,54
889,53
890,61
891,57
892,60
893,64
894,54
895,51
896,64
897,45
898,50
899,56
900,61
901,44
902,54
903,54
904,57
905,45
906,59
907,51
908,48
909,52
910,43
911,52
912,52
913,51
914,54
915,43
916,52
917,55
918,42
919,47
920,51
921,53
922,55
923,53
924,55
925,59
926,56
927,47
928,54
929,53
930,59
931,53
932,56
933,48
934,54
935,56
936,48
937,50
938,55
939,54
940,48
941,55
942,53
943,58
944,59
945,50
946,56
947,55
948,70
949,51
950,55
951,51
952,46
953,53
954,51
955,57
956,50
957,57
958,45
959,49
960,51
961,57
962,57
963,46
964,60
965,52
966,40
967,52
968,55
969,62
970,59
971,63
972,44
973,49
974,58
975,55
976,50
977,47
978,40
979,47
980,56
981,41
982,52
983,56
984,49
985,54
986,49
987,50
988,46
989,58
990,59
991,40
992,58
993,65
994,55
995,42
996,51
997,59
998,65
999,58
1000,56
1001,54
1002,53
1003,50
1004,53
1005,57
1006,46
1007,58
1008,59
1009,45
1010,54
1011,50
1012,51
1013,46
1014,54
1015,59
1016,57
1017,57
1018,48
1019,54
1020,53
1021,49
1022,51
1023,50
1024,44
1025,49
1026,47
1027,46
1028,55
1029,62
1030,56
1031,57
1032,53
1033,66
1034,56
1035,63
1036,45
1037,52
1038,61
1039,53
1040,50
1041,52
1042,47
1043,73
1044,48
1045,33
1046,45
1047,66
1048,68
1049,61
1050,52
1051,48
1052,65
1053,56
1054,46
1055,52
1056,51
1057,60
1058,54
1059,48
1060,53
1061,45
1062,67
1063,51
1064,55
1065,53
1066,55
1067,59
1068,68
1069,57
1070,52
1071,53
1072,59
1073,64
1074,59
1075,47
1076,52
1077,47
1078,51
1079,43
1080,44
1081,57
1082,48
1083,48
1084,63
1085,54
1086,58
1087,49
1088,49
1089,60
1090,53
1091,65
1092,51
1093,55
1094,48
1095,53
1096,45
1097,43
1098,55
1099,54
1100,55
1101,51
1102,57
1103,58
1104,60
1105,50
1106,51
1107,51
1108,55
1109,52
1110,50
1111,44
1112,50
1113,48
1114,51
1115,46
1116,57
1117,56
1118,64
1119,61
1120,54
1121,62
1122,45
1123,63
1124,57
1125,51
1126,47
1127,48
1128,46
1129,52
1130,52
1131,47
1132,51
1133,49
1134,46
1135,49
1136,52
1137,45
1138,61
1139,49
1140,53
1141,62
1142,53
1143,79
1144,57
1145,58
1146,58
1147,53
1148,42
1149,49
1150,46
1151,54
1152,69
1153,54
1154,57
1155,64
1156,47
1157,52
1158,42
1159,49
1160,59
1161,56
1162,64
1163,64
1164,56
1165,50
1166,48
1167,55
1168,62
1169,52
1170,38
1171,51
1172,45
1173,46
1174,59
1175,56
1176,49
1177,44
1178,51
1179,50
1180,51
1181,51
1182,55
1183,54
1184,52
1185,59
1186,64
1187,56
1188,46
1189,48
1190,45
1191,45
1192,56
1193,54
1194,46
1195,59
1196,48
1197,51
1198,50
1199,50
1200,50
1201,57
1202,43
1203,57
1204,62
1205,57
1206,59
1207,53
1208,51
1209,53
1210,53
1211,47
1212,45
1213,58
1214,50
1215,52
1216,58
1217,42
1218,64
1219,48
1220,64
1221,50
1222,56
1223,64
1224,51
1225,47
1226,45
1227,51
1228,48
1229,44
1230,48
1231,53
1232,69
1233,50
1234,59
1235,49
1236,55
1237,56
1238,48
1239,51
1240,83
1241,42
1242,48
1243,59
1244,46
1245,62
1246,59
1247,59
1248,51
1249,36
1250,43
1251,54
1252,63
1253,56
1254,54
1255,49
1256,48
1257,44
1258,54
1259,69
1260,56
1261,48
1262,52
1263,65
1264,52
1265,46
1266,55
1267,58
1268,52
1269,49
1270,46
1271,71
1272,46
1273,66
1274,51
1275,54
1276,62
1277,52
1278,71
1279,67
1280,49
1281,52
1282,54
1283,54
1284,55
1285,61
1286,55
1287,44
1288,52
1289,60
1290,44
1291,45
1292,50
1293,70
1294,46
1295,52
1296,47
1297,55
1298,43
1299,55
1300,53
1301,62
1302,55
1303,52
1304,48
1305,53
1306,49
1307,47
1308,41
1309,47
1310,54
1311,52
1312,65
1313,58
1314,48
1315,44
1316,54
1317,64
1318,52
1319,51
1320,49
1321,50
1322,58
1323,57
1324,57
1325,55
1326,48
1327,48
1328,49
1329,45
