liveness,loudness,danceability,song_duration_ms,time_signature,audio_valence,energy,tempo,acousticness,speechiness,key,instrumentalness,audio_mode,song_popularity,time_signature_cat
en_viu,-9.148,0.694,165013,NA,0.689,0.654,NA,NA,0.0322,11,NA,1,52,NA
en_viu,NA,0.39,NA,NA,0.242,NA,NA,acustic,0.17,NA,sense_veu,NA,55,NA
en_viu,-4.589,NA,NA,4,0.498,0.704,NA,NA,0.127,5,NA,NA,91,4
gravada,-6.082,0.745,202375,4,0.453,0.815,NA,no_acustic,0.144,NA,sense_veu,NA,37,4
mig,NA,0.542,NA,4,0.374,0.905,ràpid,no_acustic,0.054,9,sense_veu,1,81,4
mig,-7.693,0.6,196333,NA,0.622,NA,mitjà,NA,0.0788,NA,sense_veu,1,60,NA
NA,-5.829,0.604,174306,4,NA,NA,lent,no_acustic,0.0313,NA,NA,0,25,4
gravada,-4.97,0.543,222386,4,NA,NA,ràpid,no_acustic,0.0569,NA,sense_veu,1,35,4
en_viu,-6.977,NA,145542,4,NA,0.671,mitjà,mig_acustic,0.289,1,sense_veu,NA,85,4
NA,-6.028,0.624,125906,4,0.811,0.474,lent,acustic,0.0355,NA,sense_veu,1,33,4
mig,-19.502,0.35,NA,4,0.137,0.266,NA,acustic,0.0307,6,molta_veu,NA,50,4
en_viu,NA,0.715,239240,NA,0.963,0.97,lent,mig_acustic,0.0648,0,sense_veu,1,69,NA
NA,-5.582,0.835,267080,4,NA,0.669,NA,NA,0.0643,6,sense_veu,0,79,4
mig,-5.58,0.765,241813,4,0.284,NA,lent,NA,0.0361,NA,NA,0,64,4
mig,NA,NA,185286,4,0.215,NA,lent,mig_acustic,0.104,NA,NA,1,1,4
NA,-8.216,NA,NA,4,0.35,0.443,NA,no_acustic,0.264,NA,sense_veu,NA,36,4
gravada,-7.559,0.83,260666,4,0.559,0.417,NA,NA,0.0423,8,sense_veu,1,58,4
en_viu,NA,NA,215899,NA,0.458,0.91,NA,no_acustic,NA,NA,sense_veu,NA,22,NA
