"liveness","loudness","danceability","song_duration_ms","time_signature","audio_valence","energy","tempo","acousticness","speechiness","key","instrumentalness","audio_mode","song_popularity","time_signature_cat"
"en_viu",-9.148,0.694,165013,4,0.689,0.654,"mitjà","mig_acustic",0.0322,11,"sense_veu",1,52,"4"
"en_viu",-4.571,0.39,172800,4,0.242,0.884,"ràpid","acustic",0.17,11,"sense_veu",0,55,"4"
"en_viu",-4.589,0.707,200240,4,0.498,0.704,"ràpid","no_acustic",0.127,5,"sense_veu",0,91,"4"
"gravada",-6.082,0.745,202375,4,0.453,0.815,"mitjà","no_acustic",0.144,0,"sense_veu",1,37,"4"
"mig",-3.774,0.542,234546,4,0.374,0.905,"ràpid","no_acustic",0.054,9,"sense_veu",1,81,"4"
"mig",-7.693,0.6,196333,4,0.622,0.549,"mitjà","mig_acustic",0.0788,11,"sense_veu",1,60,"4"
"gravada",-5.829,0.604,174306,4,0.758,0.721,"lent","no_acustic",0.0313,11,"sense_veu",0,25,"4"
"gravada",-4.97,0.543,222386,4,0.163,0.723,"ràpid","no_acustic",0.0569,2,"sense_veu",1,35,"4"
"en_viu",-6.977,0.738,145542,4,0.861,0.671,"mitjà","mig_acustic",0.289,1,"sense_veu",0,85,"4"
"gravada",-6.028,0.624,125906,4,0.811,0.474,"lent","acustic",0.0355,8,"sense_veu",1,33,"4"
"mig",-19.502,0.35,347213,4,0.137,0.266,"lent","acustic",0.0307,6,"molta_veu",0,50,"4"
"en_viu",-4.855,0.715,239240,4,0.963,0.97,"lent","mig_acustic",0.0648,0,"sense_veu",1,69,"4"
"gravada",-5.582,0.835,267080,4,0.574,0.669,"mitjà","no_acustic",0.0643,6,"sense_veu",0,79,"4"
"mig",-5.58,0.765,241813,4,0.284,0.652,"lent","mig_acustic",0.0361,5,"sense_veu",0,64,"4"
"mig",-11.151,0.538,185286,4,0.215,0.301,"lent","mig_acustic",0.104,7,"sense_veu",1,1,"4"
"en_viu",-8.216,0.644,191720,4,0.35,0.443,"ràpid","no_acustic",0.264,4,"sense_veu",0,36,"4"
"gravada",-7.559,0.83,260666,4,0.559,0.417,"lent","mig_acustic",0.0423,8,"sense_veu",1,58,"4"
"en_viu",-5.891,0.448,215899,4,0.458,0.91,"ràpid","no_acustic",0.0497,7,"sense_veu",1,22,"4"
"gravada",-10.788,0.8,216506,4,0.6,0.408,"mitjà","acustic",0.0554,8,"sense_veu",1,23,"4"
"gravada",-10.541,0.843,145659,4,0.34,0.675,"ràpid","acustic",0.272,3,"sense_veu",0,5,"4"
"gravada",-3.399,0.519,241599,4,0.796,0.757,"mitjà","mig_acustic",0.0317,0,"sense_veu",1,78,"4"
"gravada",-8.907,0.669,290293,4,0.351,0.56,"lent","acustic",0.028,3,"sense_veu",1,42,"4"
"en_viu",-3.782,0.746,166138,4,0.751,0.877,"mitjà","no_acustic",0.0666,0,"sense_veu",1,11,"4"
"mig",-6.94,0.268,179200,4,0.548,0.459,"lent","acustic",0.0346,7,"sense_veu",1,74,"4"
"mig",-7.132,0.592,176075,4,0.229,0.571,"lent","mig_acustic",0.174,1,"sense_veu",1,74,"4"
"gravada",-14.805,0.899,190514,4,0.744,0.265,"mitjà","no_acustic",0.102,7,"sense_veu",1,50,"4"
"en_viu",-11.541,0.567,183533,4,0.535,0.867,"ràpid","no_acustic",0.0484,0,"sense_veu",1,55,"4"
"gravada",-5.818,0.731,199080,4,0.425,0.82,"lent","mig_acustic",0.283,8,"sense_veu",0,26,"4"
"gravada",-6.49,0.749,214013,4,0.847,0.967,"ràpid","no_acustic",0.504,6,"molta_veu",0,0,"4"
"gravada",-6.297,0.552,225533,4,0.786,0.886,"lent","mig_acustic",0.117,5,"sense_veu",0,2,"4"
"mig",-8.03,0.409,207813,4,0.25,0.801,"mitjà","no_acustic",0.0349,7,"sense_veu",1,4,"4"
"gravada",-9.858,0.865,174106,4,0.489,0.525,"ràpid","mig_acustic",0.347,11,"sense_veu",1,62,"4"
"en_viu",-9.671,0.691,199533,4,0.61,0.581,"lent","acustic",0.037,1,"sense_veu",1,41,"4"
"en_viu",-7.033,0.782,268933,4,0.243,0.436,"lent","acustic",0.155,2,"sense_veu",1,77,"4"
"gravada",-10.273,0.471,209573,4,0.231,0.179,"mitjà","acustic",0.0441,9,"sense_veu",1,65,"4"
"en_viu",-6.503,0.698,264853,4,0.378,0.783,"ràpid","no_acustic",0.266,2,"sense_veu",1,52,"4"
"en_viu",-6.4,0.83,223240,4,0.676,0.625,"lent","no_acustic",0.0567,11,"sense_veu",0,58,"4"
"gravada",-8.417,0.728,176702,4,0.445,0.607,"mitjà","mig_acustic",0.0397,1,"sense_veu",0,76,"4"
"gravada",-12.859,0.645,197922,4,0.705,0.559,"mitjà","mig_acustic",0.064,4,"sense_veu",0,62,"4"
"mig",-5.605,0.562,211825,4,0.588,0.882,"ràpid","no_acustic",0.0819,1,"sense_veu",1,48,"4"
