"ID","acousticness","instrumentalness","loudness","energy","tempo","liveness","audio_valence","danceability","speechiness","song_duration_min","key","audio_mode","song_popularity","loudness_energy_impact","is_very_danceable","energy_dance_synergy","emotional_intensity"
1,"mig_acustic","sense_veu",-9.148,0.654,"mitjà","en_viu",0.689,0.694,0.0322,2.75021666666667,11,1,52,-5.982792,0,0.453876,0.450606
2,"acustic","sense_veu",-4.571,0.884,"ràpid","en_viu",0.242,0.39,0.17,2.88,11,0,55,-4.040764,0,0.34476,0.213928
3,"no_acustic","sense_veu",-4.589,0.704,"ràpid","en_viu",0.498,0.707,0.127,3.33733333333333,5,0,91,-3.230656,1,0.497728,0.350592
4,"no_acustic","sense_veu",-6.082,0.815,"mitjà","gravada",0.453,0.745,0.144,3.37291666666667,0,1,37,-4.95683,1,0.607175,0.369195
5,"no_acustic","sense_veu",-3.774,0.905,"ràpid","mig",0.374,0.542,0.054,3.9091,9,1,81,-3.41547,0,0.49051,0.33847
6,"mig_acustic","sense_veu",-7.693,0.549,"mitjà","mig",0.622,0.6,0.0788,3.27221666666667,11,1,60,-4.223457,0,0.3294,0.341478
7,"no_acustic","sense_veu",-5.829,0.721,"lent","gravada",0.758,0.604,0.0313,2.9051,11,0,25,-4.202709,0,0.435484,0.546518
8,"no_acustic","sense_veu",-4.97,0.723,"ràpid","gravada",0.163,0.543,0.0569,3.70643333333333,2,1,35,-3.59331,0,0.392589,0.117849
9,"mig_acustic","sense_veu",-6.977,0.671,"mitjà","en_viu",0.861,0.738,0.289,2.4257,1,0,85,-4.681567,1,0.495198,0.577731
10,"acustic","sense_veu",-6.028,0.474,"lent","gravada",0.811,0.624,0.0355,2.09843333333333,8,1,33,-2.857272,0,0.295776,0.384414
11,"acustic","molta_veu",-19.502,0.266,"lent","mig",0.137,0.35,0.0307,5.78688333333333,6,0,50,-5.187532,0,0.0931,0.036442
12,"mig_acustic","sense_veu",-4.855,0.97,"lent","en_viu",0.963,0.715,0.0648,3.98733333333333,0,1,69,-4.70935,1,0.69355,0.93411
13,"no_acustic","sense_veu",-5.582,0.669,"mitjà","gravada",0.574,0.835,0.0643,4.45133333333333,6,0,79,-3.734358,1,0.558615,0.384006
14,"mig_acustic","sense_veu",-5.58,0.652,"lent","mig",0.284,0.765,0.0361,4.03021666666667,5,0,64,-3.63816,1,0.49878,0.185168
15,"mig_acustic","sense_veu",-11.151,0.301,"lent","mig",0.215,0.538,0.104,3.0881,7,1,1,-3.356451,0,0.161938,0.064715
16,"no_acustic","sense_veu",-8.216,0.443,"ràpid","en_viu",0.35,0.644,0.264,3.19533333333333,4,0,36,-3.639688,0,0.285292,0.15505
17,"mig_acustic","sense_veu",-7.559,0.417,"lent","gravada",0.559,0.83,0.0423,4.34443333333333,8,1,58,-3.152103,1,0.34611,0.233103
18,"no_acustic","sense_veu",-5.891,0.91,"ràpid","en_viu",0.458,0.448,0.0497,3.59831666666667,7,1,22,-5.36081,0,0.40768,0.41678
19,"acustic","sense_veu",-10.788,0.408,"mitjà","gravada",0.6,0.8,0.0554,3.60843333333333,8,1,23,-4.401504,1,0.3264,0.2448
20,"acustic","sense_veu",-10.541,0.675,"ràpid","gravada",0.34,0.843,0.272,2.42765,3,0,5,-7.115175,1,0.569025,0.2295
21,"mig_acustic","sense_veu",-3.399,0.757,"mitjà","gravada",0.796,0.519,0.0317,4.02665,0,1,78,-2.573043,0,0.392883,0.602572
22,"acustic","sense_veu",-8.907,0.56,"lent","gravada",0.351,0.669,0.028,4.83821666666667,3,1,42,-4.98792,0,0.37464,0.19656
23,"no_acustic","sense_veu",-3.782,0.877,"mitjà","en_viu",0.751,0.746,0.0666,2.76896666666667,0,1,11,-3.316814,1,0.654242,0.658627
24,"acustic","sense_veu",-6.94,0.459,"lent","mig",0.548,0.268,0.0346,2.98666666666667,7,1,74,-3.18546,0,0.123012,0.251532
25,"mig_acustic","sense_veu",-7.132,0.571,"lent","mig",0.229,0.592,0.174,2.93458333333333,1,1,74,-4.072372,0,0.338032,0.130759
26,"no_acustic","sense_veu",-14.805,0.265,"mitjà","gravada",0.744,0.899,0.102,3.17523333333333,7,1,50,-3.923325,1,0.238235,0.19716
27,"no_acustic","sense_veu",-11.541,0.867,"ràpid","en_viu",0.535,0.567,0.0484,3.05888333333333,0,1,55,-10.006047,0,0.491589,0.463845
28,"mig_acustic","sense_veu",-5.818,0.82,"lent","gravada",0.425,0.731,0.283,3.318,8,0,26,-4.77076,1,0.59942,0.3485
29,"no_acustic","molta_veu",-6.49,0.967,"ràpid","gravada",0.847,0.749,0.504,3.56688333333333,6,0,0,-6.27583,1,0.724283,0.819049
30,"mig_acustic","sense_veu",-6.297,0.886,"lent","gravada",0.786,0.552,0.117,3.75888333333333,5,0,2,-5.579142,0,0.489072,0.696396
31,"no_acustic","sense_veu",-8.03,0.801,"mitjà","mig",0.25,0.409,0.0349,3.46355,7,1,4,-6.43203,0,0.327609,0.20025
32,"mig_acustic","sense_veu",-9.858,0.525,"ràpid","gravada",0.489,0.865,0.347,2.90176666666667,11,1,62,-5.17545,1,0.454125,0.256725
33,"acustic","sense_veu",-9.671,0.581,"lent","en_viu",0.61,0.691,0.037,3.32555,1,1,41,-5.618851,0,0.401471,0.35441
34,"acustic","sense_veu",-7.033,0.436,"lent","en_viu",0.243,0.782,0.155,4.48221666666667,2,1,77,-3.066388,1,0.340952,0.105948
35,"acustic","sense_veu",-10.273,0.179,"mitjà","gravada",0.231,0.471,0.0441,3.49288333333333,9,1,65,-1.838867,0,0.084309,0.041349
36,"no_acustic","sense_veu",-6.503,0.783,"ràpid","en_viu",0.378,0.698,0.266,4.41421666666667,2,1,52,-5.091849,0,0.546534,0.295974
37,"no_acustic","sense_veu",-6.4,0.625,"lent","en_viu",0.676,0.83,0.0567,3.72066666666667,11,0,58,-4,1,0.51875,0.4225
38,"mig_acustic","sense_veu",-8.417,0.607,"mitjà","gravada",0.445,0.728,0.0397,2.94503333333333,1,0,76,-5.109119,1,0.441896,0.270115
39,"mig_acustic","sense_veu",-12.859,0.559,"mitjà","gravada",0.705,0.645,0.064,3.2987,4,0,62,-7.188181,0,0.360555,0.394095
40,"no_acustic","sense_veu",-5.605,0.882,"ràpid","mig",0.588,0.562,0.0819,3.53041666666667,1,1,48,-4.94361,0,0.495684,0.518616
41,"acustic","sense_veu",-24.595,0.0826,"ràpid","mig",0.0932,0.394,0.0392,4.76443333333333,2,1,64,-2.031547,0,0.0325444,0.00769832
42,"no_acustic","sense_veu",-5.991,0.725,"mitjà","en_viu",0.78,0.646,0.0394,3.55515,9,1,98,-4.343475,0,0.46835,0.5655
43,"mig_acustic","sense_veu",-6.84,0.63,"lent","mig",0.341,0.542,0.162,3.15821666666667,11,1,46,-4.3092,0,0.34146,0.21483
44,"no_acustic","molta_veu",-6.443,0.477,"mitjà","en_viu",0.767,0.739,0.0345,2.65776666666667,7,1,10,-3.073311,1,0.352503,0.365859
45,"no_acustic","sense_veu",-5.436,0.978,"ràpid","en_viu",0.445,0.527,0.109,3.50376666666667,8,0,73,-5.316408,0,0.515406,0.43521
46,"mig_acustic","sense_veu",-2.605,0.907,"mitjà","en_viu",0.808,0.72,0.0326,3.30155,6,0,56,-2.362735,1,0.65304,0.732856
47,"mig_acustic","sense_veu",-7.608,0.468,"mitjà","en_viu",0.293,0.486,0.0425,1.57566666666667,0,1,55,-3.560544,0,0.227448,0.137124
48,"acustic","molta_veu",-21.672,0.103,"lent","gravada",0.0417,0.172,0.0408,2.95773333333333,0,1,55,-2.232216,0,0.017716,0.0042951
49,"no_acustic","sense_veu",-3.887,0.852,"ràpid","en_viu",0.26,0.499,0.267,4.60066666666667,9,0,73,-3.311724,0,0.425148,0.22152
50,"mig_acustic","sense_veu",-3.883,0.834,"mitjà","en_viu",0.859,0.725,0.037,3.40036666666667,5,0,80,-3.238422,1,0.60465,0.716406
51,"acustic","sense_veu",-15.584,0.213,"ràpid","en_viu",0.669,0.643,0.0324,2.6517,4,1,62,-3.319392,0,0.136959,0.142497
52,"no_acustic","sense_veu",-10.325,0.0892,"lent","en_viu",0.329,0.901,0.33,2.2,2,1,99,-0.92099,1,0.0803692,0.0293468
53,"mig_acustic","sense_veu",-5.025,0.622,"lent","mig",0.544,0.69,0.0622,3.5015,5,0,84,-3.12555,0,0.42918,0.338368
54,"acustic","sense_veu",-6.221,0.577,"lent","en_viu",0.376,0.83,0.0468,4.59266666666667,11,1,56,-3.589517,1,0.47891,0.216952
55,"mig_acustic","sense_veu",-10.319,0.583,"mitjà","gravada",0.484,0.699,0.035,3.22935,6,1,68,-6.015977,0,0.407517,0.282172
56,"acustic","sense_veu",-8.524,0.203,"lent","mig",0.522,0.675,0.0668,5.56843333333333,9,0,68,-1.730372,0,0.137025,0.105966
57,"no_acustic","sense_veu",-4.813,0.816,"mitjà","en_viu",0.62,0.743,0.0414,3.85288333333333,4,1,77,-3.927408,1,0.606288,0.50592
58,"no_acustic","sense_veu",-5.534,0.869,"ràpid","mig",0.553,0.368,0.0828,3.492,5,1,58,-4.809046,0,0.319792,0.480557
59,"mig_acustic","sense_veu",-6.288,0.713,"mitjà","en_viu",0.6,0.436,0.0373,6.74021666666667,2,1,58,-4.483344,0,0.310868,0.4278
60,"no_acustic","poca_veu",-6.773,0.713,"ràpid","en_viu",0.473,0.593,0.0504,4.01688333333333,3,1,59,-4.829149,0,0.422809,0.337249
61,"acustic","sense_veu",-8.585,0.444,"lent","mig",0.137,0.556,0.0276,3.46333333333333,9,1,34,-3.81174,0,0.246864,0.060828
62,"mig_acustic","sense_veu",-9.397,0.677,"lent","en_viu",0.104,0.497,0.0266,3.75383333333333,6,1,72,-6.361769,0,0.336469,0.070408
63,"no_acustic","sense_veu",-4.802,0.881,"mitjà","en_viu",0.468,0.262,0.0345,3.31445,2,1,44,-4.230562,0,0.230822,0.412308
64,"mig_acustic","sense_veu",-4.757,0.786,"ràpid","mig",0.55,0.779,0.0534,2.84443333333333,2,1,45,-3.739002,1,0.612294,0.4323
65,"no_acustic","sense_veu",-6.431,0.486,"mitjà","mig",0.201,0.744,0.0311,3.84601666666667,10,0,89,-3.125466,1,0.361584,0.097686
66,"mig_acustic","sense_veu",-6.942,0.271,"lent","gravada",0.414,0.77,0.0399,4.77,0,1,51,-1.881282,1,0.20867,0.112194
67,"mig_acustic","sense_veu",-3.212,0.763,"mitjà","en_viu",0.437,0.615,0.0485,3.01421666666667,6,1,67,-2.450756,0,0.469245,0.333431
68,"acustic","sense_veu",-11.587,0.513,"lent","mig",0.36,0.591,0.0858,4.28776666666667,11,0,60,-5.944131,0,0.303183,0.18468
69,"mig_acustic","sense_veu",-5.904,0.508,"mitjà","gravada",0.458,0.71,0.149,4.27703333333333,6,0,65,-2.999232,1,0.36068,0.232664
70,"no_acustic","sense_veu",-6.989,0.496,"mitjà","en_viu",0.324,0.66,0.0333,3.14355,0,1,51,-3.466544,0,0.32736,0.160704
